Feature,Coeficient
Propiedad_Casa_PROPIETARIO,-2.035754595
Propiedad_Casa_FAMILIA O PADRES,-1.354726351
IngresoMensual,-1.193137786
Propiedad_Casa_RENTADA,-0.953444297
ActividadEconomica_JUBILADO(A),-0.865907907
Propiedad_Casa_PROPIA (PAGANDO),-0.788843439
Modelo_URVAN,-0.254013035
EntidadFederativa_COLIMA,-0.212164853
Modelo_ALTIMA,-0.14022586
EntidadFederativa_NAYARIT,-0.124219045
EntidadFederativa_CIUDAD DE MEXICO,-0.096670864
EntidadFederativa_NUEVO LEON,-0.069931281
ActividadEconomica_AMA DE CASA,-0.066459751
Modelo_XTRAIL,-0.06597569
Modelo_KICKS,-0.065172978
Modelo_MAXIMA,-0.064096835
Modelo_PATHFINDER,-0.059732571
EntidadFederativa_CAMPECHE,-0.053015988
Modelo_NOTE,-0.033759396
Modelo_SENTRA,-0.021770108
ActividadEconomica_EMPLEADO DE GOBIERNO,-0.019125781
EntidadFederativa_QUERETARO,-0.018545645
EntidadFederativa_MICHOACAN,-0.015526424
EntidadFederativa_BAJA CALIFORNIA SUR,-0.014849364
EntidadFederativa_ESTADO DE MEXICO,-0.014186944
Modelo_NP300,-0.013634895
EntidadFederativa_TABASCO,-0.009396117
EntidadFederativa_SINALOA,-0.009302677
EntidadFederativa_BAJA CALIFORNIA NORTE,-0.007376278
Modelo_OTROS,-0.005713699
ActividadEconomica_NEGOCIO PROPIO,-0.004513467
ActividadEconomica_ECONOMIA INFORMAL,-0.001343408
FLG_Empleo,0
Modelo_MURANO,0
EntidadFederativa_QUINTANA ROO,7.36E-05
ActividadEconomica_SIN DATO,0.000344394
EntidadFederativa_VERACRUZ,0.001629578
EntidadFederativa_JALISCO,0.003062527
EntidadFederativa_YUCATAN,0.005539241
EntidadFederativa_OAXACA,0.00582523
EntidadFederativa_AGUASCALIENTES.,0.006092775
EntidadFederativa_TLAXCALA,0.008054175
EntidadFederativa_PUEBLA,0.01081059
EntidadFederativa_ZACATECAS,0.015629008
Modelo_VERSA,0.016803338
EntidadFederativa_CHIHUAHUA,0.020868561
EntidadFederativa_MORELOS,0.025281792
EntidadFederativa_COAHUILA,0.025515681
EntidadFederativa_SONORA,0.026682358
Modelo_TIIDA,0.027524781
EntidadFederativa_GUERRERO,0.027626097
EntidadFederativa_SAN LUIS POTOSI,0.033959387
EntidadFederativa_TAMAULIPAS,0.039761529
EntidadFederativa_CHIAPAS,0.049596304
EntidadFederativa_HIDALGO,0.05757148
ActividadEconomica_ESTUDIANTE,0.060512758
EntidadFederativa_GUANAJUATO,0.062547638
EntidadFederativa_DURANGO,0.063618588
ActividadEconomica_OTROS,0.07390154
ActividadEconomica_TAXISTA,0.131395813
Modelo_MARCH,0.176492177
ActividadEconomica_EMPLEADO PRIVADO,0.178552143
Monto_prestamo,0.373382506
